obj_ID,alpha,delta,u,g,r,i,z,run_ID,rerun_ID,cam_col,field_ID,spec_obj_ID,redshift,plate,MJD,fiber_ID,class
1.237660962399912e+18,131.780006321322,31.176427361377,19.3694,18.12787,17.52943,17.19604,16.95938,3606,301,4,55,1.4289355312149563e+18,0.08366157,1269,52937,613,GALAXY
1.2376606370693123e+18,156.737604537081,45.0406676789147,21.55932,20.79034,20.13112,19.76833,19.55089,3530,301,6,256,8.318262425007969e+18,1.514154,7388,56783,414,QSO
1.2376683325643827e+18,219.297508705877,14.9164527943161,22.15941,21.44747,20.712,19.84396,20.05038,5322,301,4,64,6.159932906867546e+18,0.8104343,5471,56034,489,GALAXY
1.2376626632169884e+18,239.961448076072,26.1618122446672,20.95769,19.39191,18.67904,18.35519,18.12411,4002,301,4,208,2.785483043169659e+18,-0.0002606418,2474,54564,24,STAR
1.2376554745061706e+18,251.462478967666,39.1586855608978,20.64332,19.69718,19.41441,19.37871,19.34221,2328,301,6,66,5.847046807633549e+18,-0.0008476865,5193,56066,904,STAR
1.2376613607655995e+18,215.544402546948,42.3839161542975,18.48365,16.68731,15.8613,15.50104,15.21766,3699,301,2,169,1.5707040847201833e+18,0.07586327,1395,52825,268,GALAXY
1.2376618498561147e+18,176.498967872461,43.7623280140329,21.42699,21.11976,20.99029,20.79965,20.65914,3813,301,1,186,9.423842544700381e+18,0.9959654,8370,57520,219,QSO
1.2376613629165568e+18,226.157722549439,40.3720657248082,16.54807,14.68606,13.83695,13.46843,13.17371,3699,301,6,222,1.5741782719715348e+18,0.02981664,1398,53146,619,GALAXY
1.23767950433e+18,26.9123644910924,19.2041135774397,21.93447,21.69373,21.12063,21.01174,20.41924,7923,301,5,351,8.587483347143645e+18,1.567184,7627,56933,890,QSO
1.2376788600873288e+18,11.961563558207,13.2069700655658,22.1941,21.35137,21.3891,21.51182,21.58952,7773,301,5,388,1.2432434303442639e+19,2.517676,11042,58462,900,QSO
1.2376612120484255e+18,228.131557376621,41.695031395658,21.10938,21.21022,21.22105,20.95903,20.88923,3664,301,5,109,9.59493398697688e+18,2.065108,8522,58193,54,QSO
1.237668299287954e+18,209.622441259104,19.2025278058939,22.95665,22.29974,20.27768,19.31551,18.94607,5314,301,6,210,6.606834355963976e+18,0.5589835,5868,56045,195,GALAXY
1.237659324952544e+18,239.96191833035,44.0630411920869,23.52094,23.37937,21.60478,20.43811,19.7391,3225,301,2,191,9.60065776466712e+18,0.6532267,8527,57897,397,GALAXY
1.2376609629396672e+18,137.974610923286,35.2393864637979,23.01443,21.6553,20.20148,19.37263,18.92044,3606,301,5,99,5.229806536013142e+18,0.4718648,4645,55623,5,GALAXY
1.2376637852794883e+18,19.0625644353231,1.04063000256687,21.85252,21.63394,21.62235,21.22121,21.23731,4263,301,6,243,8.867792842686487e+18,1.717185,7876,57002,746,QSO
1.237651495760036e+18,124.388852297969,49.5145186891611,23.84599,21.04467,20.42565,20.09613,19.97998,1402,301,3,130,4.1592027112530473e+18,-0.0003191606,3694,55209,467,STAR
1.2376802430628012e+18,4.05864259074534,-7.01709104651059,24.04575,23.05486,21.24736,19.95569,19.38444,8095,301,5,327,8.049324901323266e+18,1.891646,7149,56593,969,QSO
1.237678596467786e+18,332.397640412967,1.63430047140711,20.52383,20.6084,20.38834,20.40352,20.29535,7712,301,2,145,1.0321284010505165e+19,1.200906,9167,58064,580,QSO
1.2376788895958963e+18,28.5776284365989,-2.25233888791478,22.74284,21.17147,19.78127,19.29121,19.03615,7780,301,4,93,8.828312128207475e+18,0.2757065,7841,56960,476,GALAXY
1.237661386533831e+18,222.202360038653,50.8548132942537,21.84194,21.29564,21.16931,21.27786,20.7223,3705,301,2,145,7.571945261561566e+18,-0.0002508039,6725,56390,976,STAR
1.237663785279619e+18,19.3270848503285,0.868474716557245,24.87247,22.46824,21.84583,21.76208,21.52817,4263,301,6,245,9.896834027515826e+18,0.8717762,8790,57363,632,QSO
1.2376634626068324e+18,349.660158928139,0.781454766171737,23.71513,22.58779,20.68435,19.60593,19.25366,4188,301,5,41,4.740236336359037e+18,0.5264751,4210,55444,719,GALAXY
1.2376625000106565e+18,248.802628922642,30.1471550476045,22.71549,21.67795,21.80179,21.40797,21.92544,3964,301,4,245,1.2293713865695582e+19,0.05644614,10919,58255,46,GALAXY
1.237666338114437e+18,14.8276384114596,-0.987995993708546,18.1641,16.33111,15.47162,15.0702,14.74315,4858,301,1,453,4.447458862794281e+17,0.04578706,395,51783,56,GALAXY
1.237670965383791e+18,136.109665263588,13.5028728574811,23.03284,20.86864,20.34718,20.17261,20.48922,5935,301,4,132,5.965194828136602e+18,0.0001366816,5298,55979,644,STAR
1.2376695174440556e+18,5.14176517352178,7.18399198710979,21.08283,20.28988,20.19688,20.25053,19.87485,5598,301,3,149,1.2735312372945934e+19,2.603239,11311,58429,940,QSO
1.237667254003237e+18,152.673183855628,25.8270852164417,22.98782,22.29086,20.4978,19.45083,18.9492,5071,301,3,255,7.280291829492504e+18,0.5267346,6466,56310,811,GALAXY
1.2376623024283978e+18,192.083139838697,52.5791765550483,21.75646,21.94064,21.82121,21.65269,21.53694,3918,301,4,35,9.256296500333664e+18,1.518965,8221,58198,994,QSO
1.2376546053250092e+18,158.476087572335,4.31863978729301,20.54692,18.5866,17.51823,17.06675,16.73632,2126,301,3,262,6.486802884355953e+17,0.1357969,576,52325,589,GALAXY
1.2376603434016443e+18,150.60870186169,41.695983341408,22.10533,21.68828,21.68598,21.31684,21.41251,3462,301,3,267,9.346341541290205e+18,1.664328,8301,57390,896,QSO
1.2376543911063726e+18,126.231956342881,45.2922395270251,25.13059,23.37901,21.57318,20.47146,19.74195,2076,301,4,153,8.247319459775405e+18,0.6870047,7325,56717,373,GALAXY
1.237663480330192e+18,327.938283379848,0.879356652652662,26.69379,23.27294,21.66582,20.53894,19.86976,4192,301,6,142,1.0318990703859096e+19,0.5770605,9165,58048,429,GALAXY
1.2376487201450888e+18,152.774916232982,-0.861896254889853,19.50767,18.59162,18.28846,18.21259,18.14762,756,301,1,247,4.243738388396792e+18,0.001149463,3769,55240,806,STAR
1.2376633063783148e+18,357.923901186792,35.3667459399822,25.88822,21.9502,20.57422,19.70107,19.16802,4152,301,2,55,8.042550809832216e+18,0.5542795,7143,56572,901,GALAXY
1.2376675514153047e+18,155.908657647731,22.9892417068717,22.2421,21.44935,21.36175,21.31338,20.81354,5140,301,5,35,7.233004857401301e+18,2.278038,6424,56272,814,QSO
1.2376785980850831e+18,347.703384626066,3.12706392474189,19.28931,19.0122,18.78614,18.59683,18.52299,7712,301,5,247,1.2718250976072718e+19,1.949595,11296,58425,311,QSO
1.2376802967415032e+18,353.244437702681,20.8202104806466,20.932,19.67814,19.14796,18.94384,18.88667,8108,301,1,199,8.558106595908933e+18,-0.0003458019,7601,56959,514,STAR
1.2376802768677115e+18,352.838213571331,27.1308560987411,23.92099,22.20299,21.872,21.3938,20.78947,8103,301,4,53,8.669530847123363e+18,-0.0004891448,7700,58016,369,STAR
1.237680276333265e+18,359.078648774289,27.0831918123178,21.24354,20.43871,20.30539,21.06158,20.28779,8103,301,3,90,8.666060781010573e+18,2.479887,7697,57574,33,QSO
1.2376609634778483e+18,140.963080330908,37.0826538505305,25.03749,22.43359,21.0278,19.67268,19.42879,3606,301,6,119,5.226484366713313e+18,0.6354206,4642,55926,207,GALAXY
